pointName,deviceType,deviceId,mapping_pointId,mapping_enosPoint,mapping_status,mapping_confidence,mapping_explanation
CH-SYS-1.CH.ModeStatus,CH,1,10102:0,CH_raw_status,mapped,0.4,
DriverCH-SYS-1.CH.RunStatus,CH,1,10102:1,unknown,unmapped,0.0,
CH-SYS-1.CH.TripStatus,CH,1,10102:2,CH_raw_trip,mapped,0.4,
CH-SYS-1.CH.FailStatus,CH,1,10102:3,unknown,unmapped,0.1,
DPM_CH_1.kWh,CH,1,10102:4,CH_raw_energy_active_total,mapped,0.6000000000000001,
DPM_CH_1.kW,CH,1,10102:5,CH_raw_power_active_total,mapped,0.6000000000000001,
CH-SYS-1.CWV.OvrMode,CH,1,10102:31,unknown,unmapped,0.1,
CH-SYS-1.CH.ChwSt,CH,1,10102:32,unknown,unmapped,0.1,
CH-SYS-1.CWV.OpenCmd,CH,1,10102:32,unknown,unmapped,0.1,
CH-SYS-1.CWV.OpenStatus,CH,1,10102:33,CH_raw_temp_chwr,mapped,0.6000000000000001,
CH-SYS-1.CH.ChwRt,CH,1,10102:33,unknown,unmapped,0.0,
CH-SYS-1.CH.ChwDt,CH,1,10102:34,unknown,unmapped,0.1,
CH-SYS-1.CWV.CloseStatus,CH,1,10102:34,unknown,unmapped,0.1,
CH-SYS-1.CWV.ModeStatus,CH,1,10102:35,CH_raw_temp_cws,mapped,0.6000000000000001,
CH-SYS-1.CH.CwSt,CH,1,10102:35,unknown,unmapped,0.0,
CH-SYS-1.CH.CwRt,CH,1,10102:36,unknown,unmapped,0.1,
CH-SYS-1.CWV.FailStatus,CH,1,10102:36,unknown,unmapped,0.1,
CH-SYS-1.CH.CwDt,CH,1,10102:37,unknown,unmapped,0.1,
CH-SYS-1.CH.ChwFls,CH,1,10102:38,CH_raw_chilled_water_flow,mapped,0.6000000000000001,
CH-SYS-1.CH.ChwFgpm,CH,1,10102:39,unknown,unmapped,0.0,
CH-SYS-1.CH.CwFls,CH,1,10102:40,CH_raw_cooling_water_flow,mapped,0.6000000000000001,
CH-SYS-1.CH.CwFgpm,CH,1,10102:41,unknown,unmapped,0.0,
FCU_01_25.RoomTemp,FCU,01_25,10102:0,FCU_raw_zone_air_temp,mapped,0.6000000000000001,
FCU_01_25.ValveOutput,FCU,01_25,10102:1,FCU_raw_valve_status,mapped,0.6000000000000001,
FCU_01_25.ModeStatus,FCU,01_25,10102:2,FCU_raw_cooling_heating_mode,mapped,0.6000000000000001,
FCU.FCU_01_25.TempSetpoint,FCU,01_25,10102:2,unknown,unmapped,0.0,
FCU_01_25.CTL_FanSpeed,FCU,01_25,10102:3,FCU_raw_fan_speed,mapped,0.6000000000000001,
FCU_05_01_6.CTL_RunStop,FCU,01_25,10102:181,FCU_raw_on_off_command,mapped,0.6000000000000001,
FCU_01_26.27_1.ValveOutput,FCU,01_25,10102:182,unknown,unmapped,0.1,
FCU_01_26.27_1.RoomTemp,FCU,01_26.27_1,10102:3,FCU_raw_zone_air_temp,mapped,0.6000000000000001,
